IDAudienciaReunion;Cut;Nombre_Institucion;IDORPortal_Institucion;Nombre_Comuna;Nombre_TiposForma;FechaInicio_Audiencia;DuracionMinuto_Audiencia;Lugar_Audiencia;ObservacionesMateria_Audiencia;Descripcion_Materia
364;13101;SENADO;NR005;Santiago;Presencial;2014-12-11 00:00:00;60;Guardia Vieja 392;Proyecto de Ley sobre Creación de una Intendencia de Supervision y control de la informacion financiera y exigencia de certificacion integral complementaria a la auditoria externa.-;Ninguna de las anteriores.
365;5101;SENADO;NR005;Valparaíso;Presencial;2014-12-09 00:00:00;60;Senado Congreso Nacional;Proyecto Reforma Laboral "Ley de Piso"
366;5602;SENADO;NR005;Algarrobo;Presencial;2014-12-09 00:00:00;30;Oficina Del Senado;Estudiar la posibilidad de realiza un Proyecto de intervención en materia de abuso del alcohol en la Región del Maule por parte de la Fundación que el dirige y solicitud de aporte para la Fundación.;Ninguna de las anteriores.
367;13124;SENADO;NR005;Pudahuel;Presencial;2014-12-12 00:00:00;60;Planta Hidronor;Se hizo un recorrido por las instalaciones de la planta de acopio de residuos peligrosos. AdemÃ¡s, se dio a conocer los laboratorios de la empresa, Ãºnicos en su tipo. Se conversÃ³ del proyecto de ley que regula el traslado de desechos y las nuevas sanciones penales que tendrÃ­an los infractores. Por Ãºltimo, se plantearon los temas de carÃ¡cter medioambientales que aÃºn no estÃ¡n regulados en nuestros paÃ­s.;Ninguna de las anteriores.
368;5101;SENADO;NR005;Valparaíso;Presencial;2014-12-09 00:00:00;30;Senado;sobre radiodifusores de la región de Antofagasta respecto de la ley del 20% de la música chilena en las radioemisoras;Ninguna de las anteriores.
369;13502;SENADO;NR005;Alhué;Presencial;2014-12-12 00:00:00;30;Senado;Datos Personales. Realizada el 12 de diciembre de 2014;Ninguna de las anteriores.
370;13502;SENADO;NR005;Alhué;Presencial;2014-12-15 00:00:00;30;Senado;Realizada el 15 de diciembre de 2014 a las 11:00 horas. Indicacion Pesca Descarte;Ninguna de las anteriores.
371;13502;SENADO;NR005;Alhué;Presencial;2014-12-15 00:00:00;60;Alameda 1370, Oficina 702, Santiago;Reformulación al sistema de salud;Ninguna de las anteriores.
372;5602;SENADO;NR005;Algarrobo;Presencial;2014-12-10 00:00:00;60;Congreso Nacional;Planteamientos respecto del proyecto de ley boletin N° 8784-04 que renueva la vigencia de la ley 19.648 de 1999, sobre acceso a la titularidad de los docentes a contrata en los establecimientos pulicos subvencionados. Además plantearon los temas que les afectan directamente contenidos en la denominada agenda corta:1.- Titularidad de la Función 2.- Bono al Incentivo 3.- Agobio laboral 4.- Ingreso Mí­nimo Docente 5.- Deuda Histórica;Ninguna de las anteriores.
373;13502;SENADO;NR005;Alhué;Presencial;2014-12-15 00:00:00;25;Morande 441;Propuestas sobre Reforma Educacional  de Educación 20 y 20;Ninguna de las anteriores.
374;13101;SENADO;NR005;Santiago;Presencial;2014-12-15 00:00:00;30;Oficina Senado Santiago, Morandé 441.;Entrega del estudio "De la Macro a la Micro", elaborado por la Facultad de Economía y Negocios de la Universidad de Chile.;Ninguna de las anteriores.
375;7301;SENADO;NR005;Curicó;Presencial;2014-12-05 00:00:00;30;Sargento Aldea 306, Oficina Regional;Modificación ley de educación.;Ninguna de las anteriores.
376;13502;SENADO;NR005;Alhué;Presencial;2014-12-18 00:00:00;30;Senado;Conocer propuestas para reforma educativa. 15 de enero de 2015 a las 09:30 horas;Ninguna de las anteriores.
377;5602;SENADO;NR005;Algarrobo;Presencial;2014-12-10 00:00:00;47;Oficina Senador Piso 9;Presentar ante el Senador a la Union Magallanica de Trabajadores- quienes son- que es lo que hacen.;Ninguna de las anteriores.
378;5101;SENADO;NR005;Valparaíso;Presencial;2014-12-10 00:00:00;45;Oficina Senador Bianchi Piso 9;Estas personas individualizadas integran la directiva de Ajuter, quienes haran llegar una propuesta de terapia de rehabilitacion para ludopatas que sirva para complementar proyecto de ley del Senador Bianchi en relación a la ludopatía el que sera presentado dentro de las próximas semanas.;Ninguna de las anteriores.
379;13502;SENADO;NR005;Alhué;Presencial;2014-12-22 00:00:00;60;Oficina Presidencia Senado Santiago Morande 441;Gas - Puerto de Quinteros.;Ninguna de las anteriores.
380;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-06 00:00:00;20;Senado En Valparaiso;PRESENTACION DE TECNOLOGIA QUE PERMITE QUE PUEDAN CONVIVIR PERSONAS QUE FUMAN Y NO FUMAN, PROTEGER EL MEDIO AMBIENTE LIBRE DE HUMO.;Ninguna de las anteriores.
381;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-06 00:00:00;25;Senado En Valparaiso;PLAN MAESTRO PUERTO DE VALPARAISO;Ninguna de las anteriores.
382;10202;SENADO;NR005;Ancud;Presencial;2014-12-05 00:00:00;60;Oficina Parlamentaria;Proyecto de Ley sobre Asignación de estimulo fito y zoosanitario para funcionarios del SAG;Ninguna de las anteriores.
383;10202;SENADO;NR005;Ancud;Presencial;2014-12-05 00:00:00;60;Oficina Parlamentaria;Ley Corta educación publica;Ninguna de las anteriores.
384;14102;SENADO;NR005;Corral;Presencial;2014-12-31 00:00:00;45;Independencia N°625, Piso 2;La empresa ha desarrollado un proceso de participación ciudadana anticipada, presentando el proyecto tanto a autoridades regionales como a la comunidad, con el objetivo de que todos los actores involucrados conozcan en detalle el proyecto.;Ninguna de las anteriores.
385;13101;SENADO;NR005;Santiago;Presencial;2015-01-15 00:00:00;30;Senado;15 de enero de 2015 a las 09:30 horas.;Ninguna de las anteriores.
386;5101;SENADO;NR005;Valparaíso;Presencial;2014-12-17 00:00:00;15;Senado Valparaiso;Entrega al senador información sobre la Fundación Emilia;Ninguna de las anteriores.
387;13101;SENADO;NR005;Santiago;Presencial;2015-01-12 00:00:00;30;Senado;PRESENTACIÓN NUEVO PROYECTO CENTRAL HIDRO ELECTRICA FRONTERA. Lunes 12 de enero de 2015 a las 13:00 horas;Ninguna de las anteriores.
388;5602;SENADO;NR005;Algarrobo;Presencial;2014-12-17 00:00:00;20;Piso 9;Política y soluciones de manejo de residuos;Ninguna de las anteriores.
389;13101;SENADO;NR005;Santiago;Presencial;2014-12-29 00:00:00;600;Mornadé 441. Oficina Senador Jorge Pizarro;No se presentaron a la reunión.;Ninguna de las anteriores.
390;13101;SENADO;NR005;Santiago;Presencial;2014-12-29 00:00:00;30;Morande 441 Oficia Senador Pizarro;Se presentó interés de colegios particulares subvencionados en la materia que les afecta en la Reforma Educacional.;Ninguna de las anteriores.
391;13502;SENADO;NR005;Alhué;Presencial;2014-12-29 00:00:00;25;Morande 441;Reforma Educacional;Ninguna de las anteriores.
392;13502;SENADO;NR005;Alhué;Presencial;2014-12-29 00:00:00;25;Morande 441;Entregaron opinión sobre Reforma Educacional;Ninguna de las anteriores.
393;13502;SENADO;NR005;Alhué;Presencial;2014-12-29 00:00:00;25;Morande 441;Situación de trabajadores del Cementerio General,  que desean recibir beneficio de incentivo al retiro;Ninguna de las anteriores.
394;13502;SENADO;NR005;Alhué;Presencial;2014-12-29 00:00:00;25;Morande 441;Reforma Educacional, tema Selección;Ninguna de las anteriores.
395;13101;SENADO;NR005;Santiago;Presencial;2014-12-26 00:00:00;75;Miraflores 222 Piso 7;Dar a conocer la marcha de la fundación, del Hogar Betania ubicado en Pucón y del Hogar Pablo VI ubicado en San Felipe. Conocer el panorama legislativo relativo a las materias de cuidado de los niños que son los ocupantes de estos hogares, esto es, niños cuyos derechos han sido vulnerados.;Ninguna de las anteriores.
396;13502;SENADO;NR005;Alhué;Presencial;2014-12-30 00:00:00;30;Morandé 441, Oficina Senador J.Pizarro;Reforma Educación, presentación de Colegios alemanes de Chile. Tema pre selección.;Ninguna de las anteriores.
397;13101;SENADO;NR005;Santiago;Presencial;2014-12-29 00:00:00;30;Morandé 441. Oficina Senador Jorge Pizarro;Como director de establecimiento católico-particular se expuso en relación a la reforma educación y como ven que les afecta en la medida que sea aprobada tal como se presentó.;Ninguna de las anteriores.
398;13101;SENADO;NR005;Santiago;Presencial;2014-12-29 00:00:00;45;Senado;Invitación a participar en próximo Seminario Internacional Residuos en Chile y la solicitud de contactos con países de América Latina;Ninguna de las anteriores.
399;13502;SENADO;NR005;Alhué;Presencial;2014-12-22 00:00:00;60;Senado;Problemática asociada a Bocamina 2 en la Comuna de Coronel Región del Bio Bio.;Ninguna de las anteriores.
400;7101;SENADO;NR005;Talca;Presencial;2014-12-23 00:00:00;20;Oficina Regional Senador Coloma;Bono compensatorio de los colectiveros;Ninguna de las anteriores.
401;7301;SENADO;NR005;Curicó;Presencial;2014-12-19 00:00:00;30;Oficina Regional Senador Coloma;Modificación Ley de Educación;Ninguna de las anteriores.
402;5101;SENADO;NR005;Valparaíso;Presencial;2014-12-10 00:00:00;30;Oficina Del Senador En El Congreso Nacional.;Estado actual de la evolución del proceso para conformar un Área Marina Protegida en Isla de Pascua.;Ninguna de las anteriores.
403;5602;SENADO;NR005;Algarrobo;Presencial;2014-12-10 00:00:00;30;Oficina Del Senador En El Congreso Nacional.;Proyecto de Ley Única de Donaciones.;Ninguna de las anteriores.
404;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-13 00:00:00;30;Sede Del Congreso Nacional;El interesado es atendido por el equipo de asesores de la Senadora, debido a urgencias que requirieron la presencia de ella. tenor de la reunión. Presentación de empresa sobre implementación cabinas para fumadores, que impiden el traspaso del humo a los ambientes comunes.  Solicita modificación de la ley de tabaco con la finalidad de que se puedan implementar tales instalaciones.El interesado reconoce ser representante legal en Chile de la empresa Qleanair-Chile limitada.;Ninguna de las anteriores.
405;8314;SENADO;NR005;Alto Biobío;Presencial;2014-12-23 00:00:00;80;Ohiggins 1529;Presentar propuesta sobre modificaciones a la ley de Isapres;Ninguna de las anteriores.
406;8101;SENADO;NR005;Concepción;Presencial;2015-01-05 00:00:00;60;Ohiggins 365;Presentación del gremio y problemas del sector.;Ninguna de las anteriores.
407;13101;SENADO;NR005;Santiago;Presencial;2015-01-05 00:00:00;45;Oficina Del Senador, Senado De Santiago;Boletín 9791-05, Renueva aplicación del mecanismo de reintegro parcial del impuesto específico al petróleo diésel para las empresas de transporte de carga y otorga beneficio tributario que indica. Señalan la necesidad de que se haga un estudio que obligue finalmente que todos los consumidores paguen el impuesto.;Ninguna de las anteriores.
408;13101;SENADO;NR005;Santiago;Presencial;2015-01-05 00:00:00;45;Oficina Del Senador, Senado Santiago.;Boletín 9791-05, Renueva aplicación del mecanismo de reintegro parcial del impuesto específico al petróleo diésel para las empresas de transporte de carga y otorga beneficio tributario que indica. Señalan la necesidad de que se haga un estudio que obligue finalmente que todos los consumidores paguen el impuesto.;Ninguna de las anteriores.
409;13502;SENADO;NR005;Alhué;Presencial;2015-01-05 00:00:00;45;Oficina Senador Jose Garcia Ruminot, Ex Congreso Nacional Santiago;BOLETIN 9791-05, RENUEVA APLICACION DEL MECANISMO DE REINTEGRO PARCIAL DEL  IMPUESTO ESPECIFICO AL PETROLEO DIESEL PARA LAS EMPRESAS DE TRANSPORTE DE CARGA Y OTORGA BENEFICIO TRIBUTARIO QUE INDICA. SEÑALAN LA NECESIDAD DE QUE SE HAGA UN ESTUDIO QUE OBLIGUE FINALMENTE QUE TODOS LOS CONSUMIDORES PAGUEN EL IMPUESTO.;Ninguna de las anteriores.
410;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-07 00:00:00;0;Oficina Del Senador En El Congreso Nacional;Apoyo en la promoción y cumplimiento de las partidas contenidas en la Ley de Presupuestos en el tema ferroviario.;Ninguna de las anteriores.
411;13502;SENADO;NR005;Alhué;Presencial;2015-01-05 00:00:00;45;Oficina Senador Jose Garcia Ruminot, Ex Congreso Nacional, Santiago.;BOLETIN 9715 - 05, RENUEVA APLICACION DEL MECANISMO DE REINTEGRO PARCIAL DEL IMPUESTO ESPECIFICO AL PETROLEO DIESEL PARA LAS EMPRESAS DE TRANSPORTE DE CARGA Y OTORGA BENEFICIO TRIBUTARIO QUE INDICA. SEÑALAN LA NECESIDAD DE QUE SE HAGA UN ESTUDIO QUE OBLIGUE FINALMENTE QUE TODOS LOS CONSUMIDORES PAGUEN EL IMPUESTO.;Ninguna de las anteriores.
412;8101;SENADO;NR005;Concepción;Presencial;2014-12-29 00:00:00;70;Sede Parlamentaria Concepción;Exponer las razones que fundamentan la oposición de los agricultores de la comuna de Bulnes al proyecto termoeléctrico "El Campesino";Ninguna de las anteriores.
413;13101;SENADO;NR005;Santiago;Presencial;2015-01-15 00:00:00;30;Senado;Proyecto de Vida en Pareja (AVP - PUC). Jueves 15 de enero de 2015 a las 09:00 horas;Ninguna de las anteriores.
414;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-07 00:00:00;20;Senado;Sobre proyecto de Ley de Fortalecimiento al Ministerio Público;Ninguna de las anteriores.
415;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-07 00:00:00;20;Comite Independiente Mas, Piso 2 Senado;Revitalización de Valparaíso;Ninguna de las anteriores.
416;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-07 00:00:00;30;Comite Independiente Mas, Piso 2 Senado;Innovación Tecnológica, Reducción de Residuos, Energía, I+D;Ninguna de las anteriores.
417;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-07 00:00:00;10;Comite Independiente Mas, Piso 2 Senado;Innovación para Valparaíso;Ninguna de las anteriores.
418;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-07 00:00:00;45;Comite Independiente Mas, Piso 2 Senado;Exposición sistema constructivo-estructural en base a perfiles de acero galvanizado de modo sustentable;Ninguna de las anteriores.
419;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-07 00:00:00;25;Senado;Entregar información de la Fundación;Ninguna de las anteriores.
420;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-07 00:00:00;30;Senado;Dar a conocer la enfermedad y sus necesidades;Ninguna de las anteriores.
421;13101;SENADO;NR005;Santiago;Presencial;2015-01-12 00:00:00;45;Sede Del Senado;Tratar temas sobre Leasing, en mejoramiento de calidad y cantidad, respecto a la última ley de presupuesto 2015.;Ninguna de las anteriores.
422;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-07 00:00:00;35;Oficina Del Senador En El Congreso Nacional.;Proyecto de ley de fortalecimiento del Ministerio Público.;Ninguna de las anteriores.
423;8101;SENADO;NR005;Concepción;Presencial;2015-01-08 00:00:00;70;Sede Parlamentaria Concepción;Participación de la Iglesia Evangélica en iniciativas sociales con financiamiento del Estado.;Ninguna de las anteriores.
424;8101;SENADO;NR005;Concepción;Presencial;2015-01-09 00:00:00;65;Sede Parlamentaria Concepción;Situación pesquera de los recursos Bacalao, Albacora, Reineta y otros demersales.;Ninguna de las anteriores.
425;8101;SENADO;NR005;Concepción;Presencial;2015-01-09 00:00:00;65;Sede Parlamentaria Concepción;Situación pesquera de los recursos  Bacalao, reineta, Albacora y  recursos demersales;Ninguna de las anteriores.
426;13101;SENADO;NR005;Santiago;Presencial;2015-01-12 00:00:00;60;Cámara De Comercio;Lunes 12 de enero a las 08:30 horas. Seguridad y comercio ilegal, deuda consolidada, Sernac, datos personales y reforma laboral;Ninguna de las anteriores.
427;13114;SENADO;NR005;Las Condes;Presencial;2015-01-12 00:00:00;75;Apoquindo 4775, Piso 11;Presentación del nuevo Gerente General e información sobre las operaciones de Colbún en la Octava Región;Ninguna de las anteriores.
428;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-14 00:00:00;30;Oficina Del Senador En El Congreso Nacional;Próxima tramitación de proyecto de ley sobre fortalecimiento del Ministerio Público.;Ninguna de las anteriores.
429;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-14 00:00:00;0;Oficina Del Senador En El Congreso Nacional;Proyecto de Fortalecimiento del Ministerio Público.;Ninguna de las anteriores.
430;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-08 00:00:00;30;Oficina Senador Horvath, Piso 9;Didymo;Ninguna de las anteriores.
431;13101;SENADO;NR005;Santiago;Presencial;2015-01-12 00:00:00;45;Huerfanos 1270, Piso 11;Escuchar la visión sobre Codelco en general.;Ninguna de las anteriores.
432;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-14 00:00:00;40;Edificio Congreso Nacional;Los dirigentes de la Asociación Nacional de Funcionarios del Ministerio Público expusieron sobre las implicancias y alcances de la indicación sustitutiva que ingresó al proyecto de ley sobre Fortalecimiento del Ministerio Público respecto del aumento de dotación institucional, carrera funcionaria y suplencias.;Ninguna de las anteriores.
433;13101;SENADO;NR005;Santiago;Presencial;2015-01-15 00:00:00;20;Congreso Stgo;Reforma Educacional y la visión del Instituto Nacional de Chile;Ninguna de las anteriores.
434;13101;SENADO;NR005;Santiago;Presencial;2015-01-19 00:00:00;30;Oficina Senador García Ruminot, Senado Santiago.;El motivo de la reunión, es poder exponer en detalle y de primera fuente, tanto la problemática existente en las fiscalías del país, como el parecer de los fiscales sobre las indicaciones sustitutivas que se incluyeron al llamado Proyecto de Ley de Fortalecimiento al Ministerio Público, que ingresaron por estos días al Congreso.;Ninguna de las anteriores.
435;13123;SENADO;NR005;Providencia;Presencial;2015-01-19 00:00:00;630;Oficina De La Udi;La dirigente de Anfumip Sra. Carola Díaz presento las inquietudes de su gremio con respecto al proyecto de Ley de Fortalecimiento del Ministerio Público, comentando la preocupación de las indicaciones sustitutivas presentadas por el ejecutivo y solicitando que el proyecto pueda ser despachado a la brevedad.;Ninguna de las anteriores.
436;13101;SENADO;NR005;Santiago;Presencial;2015-01-15 00:00:00;45;Miraflores 222 Piso 7;Dar a conocer el funcionamiento, aplicación y proyección del sistema de supervisión por medios tecnológicos de las penas, conforme a lo dispuesto en el Título III de la ley 18216, QUE ESTABLECE PENAS QUE INDICA COMO SUSTITUTIVAS A LAS PENAS PRIVATIVAS O RESTRICTIVAS DE LIBERTAD;Ninguna de las anteriores.
437;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-28 00:00:00;30;Oficina Senador;Informar detalles sobre los términos del acuerdo firmado recientemente, en el marco del convenio de administración del lago Laja.;Ninguna de las anteriores.
438;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-07 00:00:00;20;Oficina Senador En Congreso Valparaíso;Incorporar la lengua de señas en medios de comunicación, para transmisiones de contenido músical como festivales y conciertos.;Ninguna de las anteriores.
439;13123;SENADO;NR005;Providencia;Presencial;2015-01-19 00:00:00;30;Oficina Udi;La presidenta de la agrupación de tecnologos médicos Sra. Verónica Rosales planteo dos puntos de preocupación para esta agrupación : 1) El problema de la exclusión de los tecnólogos en los ZAR (en la atención primaria que es un proyecto del gobierno en desarrollo), solicito nuestra intervención y en particular en la Comisión de Salud del Senado.2)Respecto de las carreras de exclusividad Universitaria, pide revisar nuestro criterio al respecto.;Ninguna de las anteriores.
440;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-21 00:00:00;45;Senado De La República;Informar detalles sobre los términos del acuerdo firmado recientemente, en el marco del convenio de administración del lago Laja.;Ninguna de las anteriores.
441;13101;SENADO;NR005;Santiago;Presencial;2015-01-16 00:00:00;30;Ex Congreso Nacional;Se conversó sobre el trazado de las nuevas lineas de transmisión eléctrica. Se analizaron nuevas alternativas de trazado que disminuyeran el impacto medioambiental de aquellas localidades que se encontrarían próximas a las torres de alta tensión;Ninguna de las anteriores.
442;13101;SENADO;NR005;Santiago;Presencial;2015-01-26 00:00:00;30;Oficina Udi Santiago;Informar que es postulante al cargo de Ministro del Tribunal Ambiental de Santiago y dar a conocer su experiencia en la materia.;Ninguna de las anteriores.
443;5101;SENADO;NR005;Valparaíso;Presencial;2015-01-07 00:00:00;45;Congreso Nacional;El motivo de la reunión, es poder exponer en detalle y de primera fuente, tanto la problemática existente en las fiscalías del país, como el parecer de los fiscales sobre las indicaciones sustitutivas que se incluyeron al llamado Proyecto de Ley de Fortalecimiento al Ministerio Público, que ingresaron para ser tratados en la comisión de Constitución, Legislación y Justicia del Senado..;Ninguna de las anteriores.
444;13101;SENADO;NR005;Santiago;Presencial;2015-01-20 00:00:00;90;Alameda 194, Piso 6;Senador solicita tener un conocimiento más acabado de la cooperativa.;Ninguna de las anteriores.
445;13101;SENADO;NR005;Santiago;Presencial;2015-01-15 00:00:00;60;Alameda 720;Proyecto Fotovoltaico Región de Antofagasta - Ministerio de Bienes Nacionales;Ninguna de las anteriores.
446;13101;SENADO;NR005;Santiago;Presencial;2015-01-15 00:00:00;30;Alameda 1449, Torre Ii, Piso 13 Y 14;Proyecto Fotovoltaico Región de Antofasta - Ministerio de Energía;Ninguna de las anteriores.
448;1;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;Sin Información;Presencial;2014-12-03 00:00:00;60;Oficina subsecretaria;1. Modificación de la ley N°18.593 sobre Tribunales Electorales Regionales, en relación a su artículo 10 N°1.?2. Mecanismos para fiscalizar a municipios que no han constituido COSOC.?3. En caso de eventual reforma constitucional, incluir mecanismos de participación ciudadana.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
449;1;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;Sin Información;Presencial;2014-12-02 00:00:00;30;Sala reuniones Ministro MOP;La Asociación tiene inquietud en la modificación del reglamento de consultores, donde quieren colaborar. ?Registro de Contratistas: Asociación manifiesta que la idea es proteger al MOP en relación a asegurar la calidad de los servicios que se prestan en el ámbito de la ingeniería.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
450;1;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;AB093;Sin Información;Presencial;2014-11-28 00:00:00;60;Sala de reuniones SPD piso 8;Presentar un software creado para la prevención del delito, cooperación ciudadana y gestión policial.;Ninguna de las anteriores.
451;1;SUBSECRETARÍA DE TURISMO;AH011;Sin Información;Presencial;2014-12-05 00:00:00;60;Subsecretaría de Turismo;Propuestas de mejoras a fin de resolver problemas que se presentan.?Algunas miradas estratégicas del turismo social desde el punto de vista de la empresa.;Ninguna de las anteriores.
452;1;SUBSECRETARÍA DEL TRABAJO;AL001;Sin Información;Presencial;2014-12-05 00:00:00;60;Gabinete Subsecretaría;Informar situación laboral IberoAmericana Radio Chile;Ninguna de las anteriores.
